InstallmentRate,CreditHistory,Collateral,CheckingAccount,CreditAmount,EmploymentSince,Purpose,Capacity,Terms,Property,OtherDebtors,ForeignWorker,CreditRisk,Housing,ExistingCredits,Duration,ResidenceSince,Job,PersonalStatusSex,Capital,OtherInstallmentPlans,Age,SavingsAccount,LiablePeople,Character,Income
2,Existing_credits_paid_duly_till_now,none,lt0,Low,_1to4_years,car_new,high,long,car_or_other,none,yes,Good,rent,1,Short,4,skilled_employee_official,female_divorced_separated_married,medium,none,Young,lt100_DM,1,bad,low
4,Existing_credits_paid_duly_till_now,none,lt0,Low,_1to4_years,radio_television,high,short,car_or_other,none,yes,Bad,own,1,Short,2,unskilled__resident,female_divorced_separated_married,low,none,Young,_100to500_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,radio_television,medium,long,building_society_savings__life_insurance,none,yes,Good,own,2,Short,4,skilled_employee_official,male_single,low,none,Middle,unknown__no_savings,1,good,high
2,No_credits_taken__all_paid_duly,none,lt0,Medium,lt1_year,business,low,short,car_or_other,none,yes,Good,own,3,Medium,3,skilled_employee_official,male_single,low,bank,Young,unknown__no_savings,1,bad,high
4,Existing_credits_paid_duly_till_now,none,No_Checking,High,ge7_years,car_used,low,medium,unknown__no_property,none,yes,Bad,for_free,1,Short,2,management_self_employed_highly_qualified_officer,female_divorced_separated_married,medium,none,Middle,lt100_DM,1,good,high
3,Existing_credits_paid_duly_till_now,good,_0to200,Low,ge7_years,radio_television,high,long,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,male_single,low,none,Young,_500to1000_DM,2,good,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,_1to4_years,car_new,medium,medium,car_or_other,none,yes,Good,own,3,Short,4,skilled_employee_official,male_single,low,none,Middle,lt100_DM,1,good,high
2,Existing_credits_paid_duly_till_now,some,lt0,Low,_1to4_years,radio_television,high,long,real_estate,none,yes,Good,rent,1,Short,3,skilled_employee_official,male_single,low,none,Middle,_500to1000_DM,2,bad,low
1,Critical_account__other_credits_elsewhere,good,lt0,Low,lt1_year,car_new,high,medium,real_estate,none,no,Good,rent,2,Short,3,unskilled__resident,male_single,low,none,Middle,lt100_DM,2,bad,medium
3,Critical_account__other_credits_elsewhere,none,No_Checking,Low,lt1_year,car_used,low,short,building_society_savings__life_insurance,none,yes,Good,own,1,Short,4,skilled_employee_official,male_single,high,none,Middle,_100to500_DM,1,good,high
2,Critical_account__other_credits_elsewhere,good,_0to200,Low,_1to4_years,furniture_equipment,medium,medium,car_or_other,none,no,Good,own,2,Short,1,skilled_employee_official,male_married_widowed,low,none,Young,unknown__no_savings,1,good,high
1,Existing_credits_paid_duly_till_now,good,lt0,Low,_1to4_years,furniture_equipment,low,medium,real_estate,none,yes,Good,own,1,Short,2,unskilled__resident,male_single,low,bank,Young,lt100_DM,1,good,low
4,No_credits_taken__all_paid_duly,good,_0to200,Low,ge7_years,radio_television,low,medium,car_or_other,none,yes,Good,own,1,Short,4,unskilled__resident,male_married_widowed,low,none,Middle,lt100_DM,1,good,high
3,All_credits_at_this_bank_paid_duly,none,ge200,Low,_1to4_years,radio_television,high,long,real_estate,none,yes,Good,rent,2,Short,3,skilled_employee_official,female_divorced_separated_married,low,none,Middle,ge1000_DM,1,good,high
3,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,radio_television,high,short,real_estate,guarantor,yes,Good,own,1,Short,2,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,high
3,Delay_in_paying_off_in_the_past,none,lt0,Medium,ge7_years,business,high,medium,unknown__no_property,none,yes,Bad,own,2,Long,4,skilled_employee_official,male_single,high,none,Old,lt100_DM,1,good,medium
3,Existing_credits_paid_duly_till_now,none,No_Checking,Low,lt1_year,business,high,short,real_estate,none,yes,Good,own,1,Short,3,skilled_employee_official,male_married_widowed,medium,bank,Young,ge1000_DM,1,good,medium
2,Existing_credits_paid_duly_till_now,none,lt0,Low,_1to4_years,furniture_equipment,medium,long,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,male_single,high,stores,Young,lt100_DM,1,good,medium
2,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,car_new,high,medium,car_or_other,none,yes,Good,own,2,Short,2,skilled_employee_official,male_single,medium,none,Young,_100to500_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,business,medium,long,unknown__no_property,none,yes,Good,rent,1,Short,4,unskilled__resident,male_single,low,none,Old,unknown__no_savings,1,good,high
4,Existing_credits_paid_duly_till_now,none,ge200,Low,lt1_year,furniture_equipment,high,long,building_society_savings__life_insurance,none,yes,Good,own,1,Short,1,management_self_employed_highly_qualified_officer,female_divorced_separated_married,low,bank,Young,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,some,No_Checking,Low,lt1_year,radio_television,high,long,building_society_savings__life_insurance,none,yes,Bad,own,2,Medium,2,unskilled__resident,male_single,low,none,Young,lt100_DM,1,good,high
1,Critical_account__other_credits_elsewhere,none,_0to200,Low,_1to4_years,education,high,long,unknown__no_property,none,yes,Good,for_free,1,Medium,3,skilled_employee_official,male_single,high,bank,Young,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,ge200,Low,_1to4_years,radio_television,medium,long,real_estate,co_applicant,yes,Bad,own,1,Short,2,skilled_employee_official,male_single,medium,stores,Young,lt100_DM,1,good,high
2,Existing_credits_paid_duly_till_now,some,ge200,Low,_1to4_years,domestic_appliances,low,short,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,male_single,medium,none,Young,lt100_DM,1,good,low
4,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,radio_television,high,long,real_estate,none,yes,Good,own,1,Short,3,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,ge7_years,radio_television,medium,long,car_or_other,none,yes,Good,own,1,Medium,2,management_self_employed_highly_qualified_officer,male_single,low,bank,Young,_500to1000_DM,1,good,high
3,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,radio_television,medium,medium,car_or_other,none,yes,Good,own,1,Short,1,skilled_employee_official,male_divorced_separated,high,none,Young,_500to1000_DM,1,bad,medium
2,Delay_in_paying_off_in_the_past,some,No_Checking,Low,_1to4_years,repairs,medium,medium,real_estate,none,yes,Good,own,1,Short,4,unskilled__resident,male_single,low,none,Middle,lt100_DM,2,bad,high
1,Critical_account__other_credits_elsewhere,none,lt0,Low,_4to7_years,car_used,high,short,car_or_other,none,yes,Good,rent,2,Medium,4,skilled_employee_official,male_married_widowed,low,none,Young,_100to500_DM,1,good,high
4,Critical_account__other_credits_elsewhere,some,lt0,Low,ge7_years,car_used,high,medium,unknown__no_property,none,yes,Bad,for_free,2,Medium,4,unskilled__resident,female_divorced_separated_married,medium,stores,Old,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,some,_0to200,Low,lt1_year,car_new,medium,medium,car_or_other,none,yes,Good,own,2,Short,4,management_self_employed_highly_qualified_officer,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,some,_0to200,Low,ge7_years,radio_television,low,long,car_or_other,none,yes,Good,own,1,Medium,4,skilled_employee_official,male_single,low,none,Middle,_500to1000_DM,1,bad,medium
1,Existing_credits_paid_duly_till_now,none,lt0,Low,unemployed,car_used,low,long,building_society_savings__life_insurance,none,yes,Good,rent,1,Short,2,unemployed_unskilled__non_resident,female_divorced_separated_married,medium,none,Young,_500to1000_DM,1,good,medium
1,Critical_account__other_credits_elsewhere,some,_0to200,Medium,_1to4_years,car_new,high,medium,building_society_savings__life_insurance,none,yes,Good,own,2,Short,4,unskilled__resident,male_single,high,none,Middle,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,_1to4_years,radio_television,medium,long,real_estate,co_applicant,yes,Good,own,1,Short,2,skilled_employee_official,female_divorced_separated_married,low,none,Young,_100to500_DM,1,good,high
4,Delay_in_paying_off_in_the_past,good,No_Checking,Low,lt1_year,furniture_equipment,medium,short,building_society_savings__life_insurance,none,yes,Good,own,1,Short,2,unskilled__resident,male_single,low,bank,Young,unknown__no_savings,1,good,high
1,Delay_in_paying_off_in_the_past,good,No_Checking,Low,ge7_years,car_used,high,long,car_or_other,none,yes,Good,own,2,Medium,2,management_self_employed_highly_qualified_officer,male_single,low,none,Young,lt100_DM,1,bad,medium
3,Existing_credits_paid_duly_till_now,none,_0to200,Low,_1to4_years,radio_television,medium,long,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,male_single,medium,none,Young,lt100_DM,1,good,high
2,Existing_credits_paid_duly_till_now,none,_0to200,Low,_1to4_years,car_used,medium,medium,building_society_savings__life_insurance,none,yes,Good,own,1,Short,1,skilled_employee_official,male_single,low,none,Young,unknown__no_savings,1,bad,high
4,Delay_in_paying_off_in_the_past,some,No_Checking,Low,ge7_years,car_new,high,short,unknown__no_property,none,yes,Bad,for_free,2,Medium,4,skilled_employee_official,male_single,low,bank,Old,lt100_DM,1,good,medium
1,All_credits_at_this_bank_paid_duly,good,_0to200,Low,_1to4_years,car_new,medium,long,real_estate,guarantor,yes,Good,own,1,Short,2,unskilled__resident,male_single,low,stores,Young,unknown__no_savings,2,good,medium
2,Existing_credits_paid_duly_till_now,none,No_Checking,Medium,unemployed,radio_television,low,medium,unknown__no_property,none,yes,Bad,own,1,Short,1,management_self_employed_highly_qualified_officer,male_single,low,none,Middle,unknown__no_savings,1,good,high
2,Critical_account__other_credits_elsewhere,none,_0to200,Medium,_1to4_years,radio_television,low,long,car_or_other,none,yes,Good,own,2,Medium,2,skilled_employee_official,female_divorced_separated_married,high,stores,Young,lt100_DM,1,good,high
3,Existing_credits_paid_duly_till_now,none,ge200,Low,ge7_years,car_new,low,medium,car_or_other,none,yes,Good,own,1,Short,2,management_self_employed_highly_qualified_officer,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,lt0,Low,lt1_year,furniture_equipment,high,medium,unknown__no_property,co_applicant,yes,Bad,rent,2,Medium,4,unskilled__resident,female_divorced_separated_married,low,none,Young,lt100_DM,1,bad,low
2,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,business,low,long,real_estate,none,yes,Good,own,1,Short,1,skilled_employee_official,male_married_widowed,low,bank,Young,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,No_Checking,Low,ge7_years,radio_television,low,long,real_estate,guarantor,yes,Good,own,2,Short,4,skilled_employee_official,male_single,low,none,Middle,unknown__no_savings,1,good,medium
4,No_credits_taken__all_paid_duly,none,No_Checking,Low,ge7_years,business,medium,long,unknown__no_property,none,yes,Bad,for_free,1,Medium,4,management_self_employed_highly_qualified_officer,male_single,low,none,Old,lt100_DM,1,good,high
2,No_credits_taken__all_paid_duly,none,No_Checking,High,_1to4_years,business,high,long,car_or_other,none,yes,Bad,own,1,Medium,2,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,low
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,lt1_year,radio_television,medium,long,building_society_savings__life_insurance,none,yes,Good,own,1,Short,4,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,ge7_years,repairs,high,medium,building_society_savings__life_insurance,none,yes,Good,own,4,Medium,4,skilled_employee_official,male_single,low,none,Middle,unknown__no_savings,2,bad,high
2,Existing_credits_paid_duly_till_now,good,_0to200,Low,lt1_year,radio_television,medium,long,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,female_divorced_separated_married,low,bank,Young,lt100_DM,1,bad,high
4,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_1to4_years,car_new,medium,long,real_estate,none,yes,Good,own,1,Short,1,skilled_employee_official,male_married_widowed,medium,none,Young,ge1000_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,_1to4_years,education,medium,medium,unknown__no_property,none,yes,Bad,for_free,1,Medium,4,skilled_employee_official,male_single,low,stores,Young,lt100_DM,1,bad,high
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,_1to4_years,radio_television,high,long,car_or_other,none,yes,Good,own,1,Medium,4,skilled_employee_official,female_divorced_separated_married,low,none,Young,unknown__no_savings,1,good,low
1,Existing_credits_paid_duly_till_now,none,_0to200,Medium,_1to4_years,car_used,high,medium,building_society_savings__life_insurance,none,yes,Good,own,1,Medium,2,skilled_employee_official,female_divorced_separated_married,low,bank,Young,lt100_DM,1,bad,medium
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,radio_television,low,short,building_society_savings__life_insurance,none,yes,Good,rent,2,Short,2,unskilled__resident,male_single,low,none,Middle,unknown__no_savings,1,good,high
3,Critical_account__other_credits_elsewhere,good,lt0,Low,ge7_years,others,medium,long,unknown__no_property,none,yes,Good,for_free,2,Short,4,management_self_employed_highly_qualified_officer,male_single,medium,bank,Middle,lt100_DM,2,good,high
2,Critical_account__other_credits_elsewhere,none,No_Checking,Low,_4to7_years,business,medium,long,real_estate,none,yes,Good,own,2,Medium,1,unskilled__resident,female_divorced_separated_married,low,bank,Middle,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,lt0,Low,ge7_years,education,high,short,unknown__no_property,none,yes,Bad,own,1,Medium,4,management_self_employed_highly_qualified_officer,male_single,low,none,Middle,unknown__no_savings,1,good,high
4,Critical_account__other_credits_elsewhere,none,lt0,Low,ge7_years,car_used,high,long,unknown__no_property,none,yes,Good,for_free,2,Short,4,management_self_employed_highly_qualified_officer,male_single,low,none,Old,lt100_DM,1,bad,medium
4,Existing_credits_paid_duly_till_now,good,lt0,Low,lt1_year,radio_television,high,short,car_or_other,none,yes,Bad,own,1,Medium,3,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,low
2,Delay_in_paying_off_in_the_past,none,No_Checking,Low,_4to7_years,radio_television,medium,medium,building_society_savings__life_insurance,none,yes,Good,own,1,Short,4,skilled_employee_official,male_single,low,none,Middle,lt100_DM,1,bad,high
2,No_credits_taken__all_paid_duly,none,_0to200,Medium,_1to4_years,car_used,high,long,building_society_savings__life_insurance,none,yes,Good,own,1,Long,2,unskilled__resident,male_single,low,none,Middle,unknown__no_savings,2,good,low
2,Existing_credits_paid_duly_till_now,none,No_Checking,Low,lt1_year,furniture_equipment,low,long,building_society_savings__life_insurance,none,yes,Good,own,1,Medium,1,skilled_employee_official,male_married_widowed,low,none,Young,lt100_DM,1,good,high
1,Existing_credits_paid_duly_till_now,none,_0to200,Low,lt1_year,radio_television,low,long,car_or_other,none,yes,Bad,own,2,Short,1,skilled_employee_official,female_divorced_separated_married,low,none,Middle,unknown__no_savings,1,good,high
4,Existing_credits_paid_duly_till_now,some,_0to200,Low,ge7_years,radio_television,high,short,building_society_savings__life_insurance,none,yes,Good,own,1,Short,3,skilled_employee_official,male_single,low,stores,Middle,_500to1000_DM,1,good,medium
3,Existing_credits_paid_duly_till_now,none,_0to200,Low,_1to4_years,business,low,medium,building_society_savings__life_insurance,none,yes,Good,rent,1,Short,4,unskilled__resident,female_divorced_separated_married,low,none,Young,_100to500_DM,1,bad,high
4,Existing_credits_paid_duly_till_now,none,lt0,Low,ge7_years,others,medium,medium,real_estate,guarantor,yes,Good,own,1,Short,4,unskilled__resident,female_divorced_separated_married,low,none,Old,lt100_DM,1,good,medium
3,Existing_credits_paid_duly_till_now,none,lt0,Low,ge7_years,radio_television,medium,medium,real_estate,none,yes,Good,own,1,Short,4,unskilled__resident,male_single,low,none,Middle,lt100_DM,1,bad,high
4,Critical_account__other_credits_elsewhere,good,_0to200,Low,_1to4_years,business,medium,medium,real_estate,guarantor,yes,Good,own,2,Short,2,management_self_employed_highly_qualified_officer,female_divorced_separated_married,medium,none,Young,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,No_Checking,Low,lt1_year,furniture_equipment,medium,medium,building_society_savings__life_insurance,none,yes,Good,own,2,Short,1,skilled_employee_official,female_divorced_separated_married,high,none,Young,lt100_DM,1,good,high
1,Existing_credits_paid_duly_till_now,none,No_Checking,High,_1to4_years,education,medium,short,unknown__no_property,none,yes,Bad,for_free,1,Medium,4,skilled_employee_official,male_single,low,none,Middle,_100to500_DM,2,good,medium
4,Existing_credits_paid_duly_till_now,none,lt0,Low,_4to7_years,car_new,low,long,car_or_other,none,yes,Good,own,1,Short,3,management_self_employed_highly_qualified_officer,male_single,low,none,Young,_100to500_DM,2,good,medium
4,No_credits_taken__all_paid_duly,none,lt0,Low,_4to7_years,repairs,medium,medium,real_estate,none,yes,Bad,own,2,Short,3,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,radio_television,low,medium,real_estate,none,yes,Good,own,1,Short,4,skilled_employee_official,male_single,low,none,Middle,lt100_DM,1,good,medium
4,Critical_account__other_credits_elsewhere,none,lt0,Low,ge7_years,car_used,low,medium,real_estate,none,yes,Good,own,1,Short,3,skilled_employee_official,male_single,low,none,Middle,lt100_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,radio_television,low,medium,building_society_savings__life_insurance,none,yes,Bad,own,1,Short,3,unskilled__resident,female_divorced_separated_married,low,bank,Young,unknown__no_savings,2,good,medium
4,Critical_account__other_credits_elsewhere,none,ge200,Low,ge7_years,furniture_equipment,low,long,unknown__no_property,co_applicant,yes,Good,rent,2,Short,4,skilled_employee_official,male_single,high,none,Young,unknown__no_savings,1,good,high
4,Existing_credits_paid_duly_till_now,some,No_Checking,Low,ge7_years,car_new,high,medium,real_estate,none,yes,Good,own,1,Short,4,skilled_employee_official,male_single,low,none,Middle,ge1000_DM,1,bad,medium
3,No_credits_taken__all_paid_duly,none,No_Checking,High,lt1_year,business,high,long,unknown__no_property,none,yes,Bad,rent,1,Long,4,skilled_employee_official,male_single,low,none,Old,lt100_DM,1,bad,medium
4,Critical_account__other_credits_elsewhere,some,_0to200,Low,_4to7_years,education,medium,long,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,female_divorced_separated_married,low,none,Old,unknown__no_savings,1,bad,high
4,Existing_credits_paid_duly_till_now,some,No_Checking,Low,_1to4_years,business,high,medium,car_or_other,none,yes,Good,own,1,Short,4,skilled_employee_official,male_single,low,none,Young,_100to500_DM,1,good,medium
4,Critical_account__other_credits_elsewhere,none,No_Checking,Low,ge7_years,radio_television,low,medium,real_estate,none,yes,Good,own,1,Medium,4,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,high
3,Delay_in_paying_off_in_the_past,none,No_Checking,Medium,_4to7_years,car_used,medium,long,building_society_savings__life_insurance,none,yes,Good,rent,2,Short,4,management_self_employed_highly_qualified_officer,male_single,low,bank,Young,unknown__no_savings,2,good,medium
4,Existing_credits_paid_duly_till_now,none,_0to200,Low,ge7_years,car_new,low,long,real_estate,none,yes,Good,rent,1,Short,4,unskilled__resident,male_married_widowed,low,none,Middle,_100to500_DM,1,good,high
4,Existing_credits_paid_duly_till_now,good,No_Checking,Low,_4to7_years,radio_television,medium,long,car_or_other,none,yes,Good,rent,1,Medium,4,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,bad,low
3,Delay_in_paying_off_in_the_past,good,_0to200,Low,_1to4_years,radio_television,low,short,real_estate,none,yes,Good,own,1,Short,2,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,medium
4,Critical_account__other_credits_elsewhere,some,No_Checking,Low,_4to7_years,furniture_equipment,high,long,car_or_other,none,yes,Good,rent,1,Short,3,skilled_employee_official,male_single,high,none,Young,lt100_DM,1,good,high
2,Existing_credits_paid_duly_till_now,none,_0to200,Low,lt1_year,car_used,low,medium,car_or_other,none,yes,Good,rent,1,Short,4,skilled_employee_official,male_married_widowed,low,none,Young,unknown__no_savings,1,bad,high
2,Critical_account__other_credits_elsewhere,none,No_Checking,Medium,_1to4_years,others,low,medium,car_or_other,co_applicant,yes,Bad,own,2,Short,3,management_self_employed_highly_qualified_officer,male_single,high,none,Middle,lt100_DM,2,bad,low
2,All_credits_at_this_bank_paid_duly,none,_0to200,Medium,ge7_years,car_new,high,short,unknown__no_property,none,yes,Bad,own,2,Short,4,management_self_employed_highly_qualified_officer,male_single,low,bank,Middle,lt100_DM,2,bad,high
2,Existing_credits_paid_duly_till_now,none,No_Checking,Low,_4to7_years,car_new,low,medium,car_or_other,none,yes,Good,own,1,Short,2,skilled_employee_official,male_single,low,none,Young,lt100_DM,1,good,medium
1,Existing_credits_paid_duly_till_now,none,lt0,Medium,lt1_year,furniture_equipment,high,long,building_society_savings__life_insurance,none,no,Good,own,1,Short,2,skilled_employee_official,female_divorced_separated_married,low,none,Young,unknown__no_savings,1,good,medium
1,Existing_credits_paid_duly_till_now,none,No_Checking,Low,ge7_years,business,low,long,real_estate,none,yes,Good,own,1,Short,2,skilled_employee_official,male_married_widowed,medium,none,Young,_500to1000_DM,1,bad,medium
1,Delay_in_paying_off_in_the_past,none,No_Checking,Low,ge7_years,business,high,short,car_or_other,none,yes,Good,own,2,Short,2,skilled_employee_official,male_divorced_separated,medium,bank,Young,_100to500_DM,2,good,high
4,Existing_credits_paid_duly_till_now,none,ge200,Low,lt1_year,education,medium,medium,building_society_savings__life_insurance,none,yes,Good,rent,1,Short,4,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,good,low
3,Existing_credits_paid_duly_till_now,some,No_Checking,Low,_4to7_years,car_new,high,long,real_estate,none,yes,Good,rent,1,Short,3,unskilled__resident,male_single,low,none,Young,lt100_DM,1,bad,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Medium,_1to4_years,car_new,medium,short,real_estate,none,yes,Bad,own,2,Medium,2,skilled_employee_official,female_divorced_separated_married,high,stores,Young,lt100_DM,1,bad,high
3,Existing_credits_paid_duly_till_now,none,lt0,Low,ge7_years,radio_television,low,medium,real_estate,none,yes,Good,own,1,Short,1,skilled_employee_official,male_married_widowed,medium,none,Young,_500to1000_DM,1,good,high
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,radio_television,low,short,real_estate,none,yes,Good,own,1,Medium,1,skilled_employee_official,male_single,low,none,Middle,unknown__no_savings,1,bad,high
4,Existing_credits_paid_duly_till_now,none,lt0,Medium,_4to7_years,radio_television,high,short,car_or_other,none,yes,Bad,own,1,Medium,3,management_self_employed_highly_qualified_officer,female_divorced_separated_married,low,none,Young,unknown__no_savings,1,bad,high
2,Critical_account__other_credits_elsewhere,none,lt0,Low,lt1_year,furniture_equipment,medium,medium,real_estate,co_applicant,no,Good,rent,2,Short,3,skilled_employee_official,female_divorced_separated_married,low,none,Young,unknown__no_savings,1,bad,high
1,Critical_account__other_credits_elsewhere,none,lt0,Low,_1to4_years,furniture_equipment,low,medium,car_or_other,none,yes,Bad,own,2,Medium,4,skilled_employee_official,female_divorced_separated_married,medium,none,Young,_500to1000_DM,1,good,medium
3,Critical_account__other_credits_elsewhere,some,No_Checking,Low,_4to7_years,car_new,medium,long,car_or_other,none,yes,Good,own,1,Short,3,management_self_employed_highly_qualified_officer,male_divorced_separated,low,none,Young,_500to1000_DM,1,good,medium
3,Existing_credits_paid_duly_till_now,none,lt0,Low,_1to4_years,radio_television,medium,short,real_estate,none,yes,Bad,own,2,Short,2,skilled_employee_official,female_divorced_separated_married,low,none,Young,lt100_DM,1,bad,low
4,Critical_account__other_credits_elsewhere,none,_0to200,Low,ge7_years,car_used,medium,short,car_or_other,none,yes,Good,rent,2,Short,2,management_self_employed_highly_qualified_officer,female_divorced_separated_married,low,none,Middle,lt100_DM,1,good,high
3,Existing_credits_paid_duly_till_now,good,_0to200,Low,_1to4_years,furniture_equipment,medium,medium,real_estate,none,yes,Good,rent,1,Short,2,unskilled__resident,male_single,low,none,Young,lt100_DM,1,bad,low
4,Critical_account__other_credits_elsewhere,none,ge200,Low,ge7_years,car_new,high,long,unknown__no_property,none,yes,Good,for_free,2,Short,4,skilled_employee_official,male_single,low,none,Old,lt100_DM,1,good,high
4,Existing_credits_paid_duly_till_now,none,No_Checking,Low,lt1_year,furniture_equipment,medium,medium,real_estate,none,yes,Bad,rent,1,Short,3,skilled_employee_official,female_divorced_separated_married,low,none,Young,unknown__no_savings,1,good,medium
